Date	Ave. tempareture (C)	Highest tempareture (C)	Lowest tempareture (C) 	Precipitation (mm)	Day length (hours)	Ave. wind (m/s)	Maximum wind (m/s)	Maximum instantaneous wind (m/s)	
								
2024/7/10	29	33.9	24.2	0	1.5	2.1	5.8	10.8
2024/7/11	27.6	30.4	24.8	0	0	2.1	5.3	10
2024/7/12	23.9	25.6	22.1	16.5	0	1	3.5	7.2
2024/7/13	25.9	31.3	22.1	0	7.4	2.2	5.2	8.4
2024/7/14	24.7	27.3	23.4	2	0	0.9	1.7	3.7
2024/7/15	24.1	27.4	22.7	1	0	1.2	2.7	5.5
2024/7/16	23.2	25.6	21.9	19.5	0	0.8	1.8	3.7
2024/7/17	25.7	32.3	21.9	1.5	3.6	1.1	3.5	6.1
2024/7/18	28.1	33.9	24.2	0	6.8	1.6	4	7.4
2024/7/19	30.1	36.3	24.3	0	4.7	1.5	4	6.4
2024/7/20	30.7	38	25	25	8.9	1.2	4	8.2
2024/7/21	28.9	35.6	24.8	10.5	10.9	2.2	5.1	8.4
2024/7/22	30.2	37.9	24.7	11	9.1	1.2	3.3	7.6
2024/7/23	30.3	36.1	23.8	0	13.1	1.7	3.9	7.1
2024/7/24	30	36.2	24.6	6	7	1.1	5.4	13.6
2024/7/25	29.9	36.1	26	0	7.4	1.4	3.7	6.7
2024/7/26	29.6	36.2	25	0.5	6.4	1.4	3.7	6.5
2024/7/27	30	36.7	25.2	0.5	6.2	1.1	4.1	7.1
2024/7/28	31.2	37.7	26.2	0	8.9	1.4	5	8.5
2024/7/29	31.6	38	27.9	0	10.8	2.2	5.9	10
2024/7/30	29.7	35.6	26.3	9.5	3.4	1.3	3.4	7.7
2024/7/31	29.1	35.3	23.7	46	6.1	1.5	5.4	10.3
2024/8/1	28.7	34.3	23.8	0	10.2	1.7	4.1	7.4
2024/8/2	29.1	35	25.7	0	11.8	1.8	4.4	6.7
2024/8/3	29.3	34.6	25.2	0	10.2	1.8	4	7.2
2024/8/4	29.4	36.2	24.9	0	10.1	2	4.8	7.8
2024/8/5	29.7	35.4	25.4	0	6.9	1.6	4.2	7.2
2024/8/6	29.4	34.5	25.5	22.5	1.5	1.4	4.5	7.9
2024/8/7	28	34.7	23.4	9.5	5.8	1.5	4.4	8.5
2024/8/8	28.4	34.3	24	1.5	4.2	1.4	4.1	7.4
2024/8/9	30	35.8	26.6	0	8.6	1.4	3.9	6.9
2024/8/10	30.1	36.2	26.5	0	8.9	1.9	4.2	9.6
2024/8/11	31.5	36.9	26.5	0	11.8	1.6	4.6	7.6
2024/8/12	31.2	35.8	26.4	0	11.5	2.7	5.7	9.7
2024/8/13	30.6	36	26.4	0	12.2	2.5	4.9	9.1
2024/8/14	29.5	34.1	27	0	3.8	1.6	3.9	6.5
2024/8/15	30	36.1	26.1	0	7.8	1.8	4.7	9.1
2024/8/16	26.6	28.6	24.8	69.5	0	2	4.3	10.4
2024/8/17	30.4	36.3	25.2	0	10.3	2	4.5	8.4
2024/8/18	29.6	33.9	26.9	0	5.1	1.8	4	7
2024/8/19	29	35.3	22.9	28	6.4	1.5	4.1	8.3
2024/8/20	28.5	34.5	24.3	0.5	8.4	1.4	3.8	6.6
2024/8/21	28.6	33.8	25.3	0	5.7	1.9	4.4	7.8
2024/8/22	27.8	32.2	26.2	4	1	2.5	4.9	7.8
2024/8/23	29.1	33.2	26.7	0	7.2	3.3	5.4	8.4
2024/8/24	29.1	35.4	25.1	12	5.1	2	5.3	9.3
2024/8/25	28.4	33.4	25.3	0	7.5	2.7	6.4	11
2024/8/26	28.7	33	25.3	0	10	3.6	5.9	10.6
2024/8/27	26.5	30.5	24	14.5	2.4	3	5.3	10.3
2024/8/28	27.1	31.3	24.3	3.5	3	2.6	5.4	9.7
2024/8/29	26	30.5	24.1	61.5	0	1.6	3.6	7.8
2024/8/30	25.3	26.4	24.1	147.5	0	2	4.4	7.8
2024/8/31	27	32.4	23.4	62	1.2	2.7	8	13.2
2024/9/1	25.5	29.8	23.2	9	0.3	1.7	4.6	7.8
2024/9/2	29	33.1	25.4	0	11.4	3.9	7.1	12.1
2024/9/3	24.8	27.3	23.1	2	0	1.1	2.9	7.3
2024/9/4	25.7	30.5	21.9	0	9.7	1.7	3.3	6.8
2024/9/5	26.9	33.1	22.2	0	11.8	1.6	3.5	5.9
2024/9/6	28.2	34.7	22.4	0	10.3	1.5	4.4	7.2
2024/9/7	28.7	35	24.8	0	11.3	1.8	4.5	7.9
2024/9/8	28.7	35.5	24.9	0	8.2	2	4.9	8
2024/9/9	28.2	34	24.6	0	7.6	1.8	6	10
2024/9/10	28.9	34.5	24.5	0	10	2.2	4.8	8.3
2024/9/11	29.5	35.7	25.1	0	11.1	2	4.9	8.4
2024/9/12	29.7	36	26.5	0	10	2.3	5.4	9.5
2024/9/13	29.5	34.4	25.3	0	11.3	2.7	5.6	10.9
2024/9/14	29.1	34.8	24.7	0	11.3	3	6.4	11.3
2024/9/15	29.6	34.8	25	5.5	9.7	3.7	6.7	12.4
2024/9/16	25.7	28	23.9	3.5	0	1.3	2.7	6.5
2024/9/17	27.3	33.7	22.9	0	8.5	1.8	4.8	7.8
2024/9/18	28.5	36.3	24	1	7.1	1	2.7	5.4
2024/9/19	26.4	32.7	24	4.5	3.5	1	3.6	7
2024/9/20	28.5	35.2	23.8	0	5.3	1	2.7	4.9
2024/9/21	26.7	31.2	23	0	0.7	1	2.3	4.9
2024/9/22	22.5	24.6	20.4	6.5	0	0.9	2	4.6
2024/9/23	22.6	27	19.6	0.5	3.4	2.2	3.6	8.5
2024/9/24	20.5	24.5	18.4	0	2.1	1.6	2.9	6.2
2024/9/25	20.5	24.5	17.1	0.5	0	1.4	3.5	8.5
2024/9/26	24.7	30.1	19.6	0	7	1.7	3.5	5.8
2024/9/27	23.4	24.9	22.1	3	0	1.1	2.5	5.1
2024/9/28	23.8	28.3	20.6	0	0.9	1.2	3.5	5.7
2024/9/29	22	23.7	20.5	1.5	0	1	2.2	5.1
2024/9/30	21.9	25.5	19.6	0	0	1.1	2.4	4.9
2024/10/1	22.8	27.1	19.3	0	2.3	1.2	3	6.7
2024/10/2	25.7	32.4	19.6	0	10.5	2.1	6.4	11.2
2024/10/3	22.2	24.5	20.5	26.5	0	1.6	3.5	6.3
2024/10/4	23.2	27.9	20.1	8.5	0.1	1.6	5.1	9
2024/10/5	20.2	22.5	18.4	10	0	0.7	1.7	4.7
2024/10/6	20.8	23.3	18.6	0.5	0	0.7	2	4.4
2024/10/7	24.7	29.7	21	0.5	5.1	2.1	5.8	11.1
2024/10/8	18.5	23.6	14.4	24	0	1.6	3.2	7.2
2024/10/9	15.9	17.6	14.6	47	0	1.5	3	7.1
2024/10/10	17.1	20.8	13.4	0	0.2	1.2	2.4	6.9
2024/10/11	18.1	24.6	12.2	0	9.8	1	2.9	4.8
2024/10/12	19.9	26.1	14.3	0	10.4	1.3	3.6	6.1
2024/10/13	20.1	26.3	14.5	0	10.6	1.2	2.6	5.8
2024/10/14	20.2	25.8	13.3	0	9.8	1.2	2.5	5.7
2024/10/15	21.6	26.9	17.5	0	8.4	1.4	4	7.1
2024/10/16	20.7	25	16.2	0	0	0.5	1.6	2.5
2024/10/17	21.8	25.2	18.4	0	0.5	0.9	2.2	5.1
2024/10/18	20.5	21.3	19.8	4	0	0.8	1.8	4.6
2024/10/19	23.4	30	19.9	1.5	4.4	1.2	2.8	6.9
2024/10/20	16.8	21.6	12.3	0	7	2.4	4.4	12.4
2024/10/21	15.5	20.4	8.8	0	6.6	1.2	2.8	6.2
2024/10/22	18.6	23.6	11.6	0	3.4	0.7	2.2	4.8
2024/10/23	19.8	24.3	17.1	0.5	0	0.7	3.7	8.3
2024/10/24	22.2	26.4	17.3	0	4.3	1.1	2.7	7.4
2024/10/25	19.6	21.4	17.2	0.5	0	0.8	2	4.5
2024/10/26	18.1	20.3	15.7	0	0	0.6	1.4	4
2024/10/27	19.6	23.3	16.8	0.5	2.4	1	2.7	4.4
2024/10/28	18.9	20.9	17.2	7	0	1	2.3	5.9
2024/10/29	14.9	18.4	12.1	24.5	0	1.4	2.7	7.1
2024/10/30	16.6	23.9	12.4	17	3	1.5	3.5	12
2024/10/31	15.1	20.5	8.5	0	6.6	1.1	2.5	4.8
2024/11/1	15.9	22.5	9.3	0	3	0.6	1.8	4
2024/11/2	15.7	16.7	14.6	39.5	0	0.9	2.4	6.7
2024/11/3	17.2	22.9	11.9	0	9.8	1.5	3.9	8.3
2024/11/4	15.9	22.7	8.4	0	9.1	1.6	6.3	10.6
2024/11/5	15.8	20.6	10.5	0	2.9	1.5	3.6	8.2
2024/11/6	13.8	15.6	11.9	0	0	0.8	2.3	5.1
2024/11/7	12.8	18.4	7.9	0	9.7	1.7	3.2	9.4
2024/11/8	11.5	16.4	7	0	8.5	1.3	2.6	6.8
2024/11/9	11.7	17.5	4.3	0	8.8	1.1	2.4	5.3
2024/11/10	13.4	16.7	11.1	0	0	0.9	2	4.5
2024/11/11	15.9	21.5	11.3	0.5	0	0.9	2.7	5.8
2024/11/12	15.3	21.7	8.2	0	9.6	1.2	3.7	6.7
2024/11/13	16.5	21.6	10.7	0	7.8	1.6	3.9	8.9
2024/11/14	15.2	17.4	10.1	0	1.8	0.9	1.7	3.9
2024/11/15	15.2	17.2	13.2	6	0	0.7	1.5	3.7
2024/11/16	16.1	19	12.6	0	0.1	0.9	1.6	4.4
2024/11/17	19.2	25.3	14.1	0	7	1.1	2.9	6.5
2024/11/18	13.5	18.2	8.6	1	1.6	2.3	4.1	11.4
2024/11/19	9.3	13.7	6.2	0	9.2	1.8	4.2	11.4
2024/11/20	7.2	8.7	5.3	5.5	0	1.2	2.2	4.8
2024/11/21	10.6	16	8.5	5.5	3	1.1	2.3	4.5
2024/11/22	12.1	19.1	4.5	0	9.3	1	2.8	4.9
2024/11/23	11.7	16.9	8.3	0	9.1	1.8	3.9	9.2
2024/11/24	10.7	16	5.5	0	7.6	1.4	3.4	8.5
2024/11/25	9.3	15.5	4.1	0	9.4	1.3	3.1	6
2024/11/26	8.6	13.6	1.2	15	2.4	0.9	2.1	4.3
2024/11/27	14.2	20.6	8.4	13	5.8	1.1	4.3	7.2
2024/11/28	11.5	18.5	4.2	0	9.4	1.4	4.7	8.2
2024/11/29	9.9	17.2	1.4	0	7.3	1.3	3.5	6.1
2024/11/30	9.4	17.1	1	0	9.3	1.1	3	5.1
2024/12/1	9.8	16.9	2.1	0	9.2	1.4	4.1	7.3
2024/12/2	10.7	17.3	4.1	0	8.5	0.9	2.8	5.1
2024/12/3	11.3	19.1	4.2	0	9	1.1	3.4	5.5
2024/12/4	11.8	18.2	4.8	0	8.6	1.1	3.2	7
2024/12/5	10.4	15.8	4.5	0	6.6	0.8	2.2	4.3
2024/12/6	9.6	17.7	1	0	8.8	1.5	4.7	8.6
2024/12/7	7.9	13.3	1.4	0	7.7	1.2	3.6	5.8
2024/12/8	7	14.4	1.6	0	8	1.3	3	9.2
2024/12/9	6.6	13.6	-1.5	0	9	1.1	2.5	6.7
2024/12/10	7.2	14	-0.5	0	9	0.9	2.4	4.6
2024/12/11	7.6	13.7	2	0	7.3	1.3	2.7	8.8
2024/12/12	6.5	11.8	-0.2	0	9.1	1.7	3.4	9.7
2024/12/13	3.9	9.2	-1.7	0	1.1	0.9	2.5	4.9
2024/12/14	6.2	12.2	-1.1	0	8	1.8	4.9	11.1
2024/12/15	5.5	12.9	-3.7	0	9.2	1.2	3	5.3
2024/12/16	6	13.3	-0.8	0	9.1	1.2	3.5	6.1
2024/12/17	6.7	13.8	0.6	0	8.6	1.1	2.8	5.3
2024/12/18	6.7	13	-0.6	0	7.9	1.5	3.2	8.5
2024/12/19	5.1	8.8	1.1	0	6.1	1.7	3.7	8.3
2024/12/20	6	12.2	-1	0	6.3	1.3	2.9	5.6
2024/12/21	8.4	17.4	-0.3	0	8.7	2.4	6.6	12.1
2024/12/22	5.7	11.7	-1.6	0	8.8	1.7	5.1	11
2024/12/23	4.5	11.3	-2.7	0	9.2	1.5	3.7	6.5
2024/12/24	5.5	12.6	-2.1	0	9.2	1.1	2.8	5.1
2024/12/25	5.3	12	-0.5	0	5.6	1.3	3.1	5.6
2024/12/26	7.5	16	-0.7	0	8.5	0.9	1.9	5
2024/12/27	5.8	12.7	-0.4	0	6.5	1.2	2.7	9
2024/12/28	4.5	12	-1.6	0	6.9	1.3	3	7.3
2024/12/29	4.4	12.7	-2.9	0	7.9	1.2	3.1	9.3
2024/12/30	4.4	10.8	-2.2	0	7	1.2	3.7	6.3
2024/12/31	7.2	14.6	-0.6	0	7.7	1.3	3.2	9.7
