Date	Ave. tempareture (C)	Highest tempareture (C)	Lowest tempareture (C) 	Precipitation (mm)	Day length (hours)	Ave. wind (m/s)	Maximum wind (m/s)	Maximum instantaneous wind (m/s)
2024/6/19	23.5	29.5	17.2	0	13.3	2.7	6.4	10.3
2024/6/20	24.4	28.4	20.8	0	6.2	3.2	6.5	11.4
2024/6/21	20.1	23.3	17.3	44	0	2.8	5.3	9.4
2024/6/22	23.9	30	16.8	0	8.5	3.3	6.2	13.2
2024/6/23	21.6	24.2	20	29.5	0.1	2.3	5.5	10.5
2024/6/24	26.7	33.4	21	0	6.5	2.1	4.9	7.2
2024/6/25	27.8	31.8	24.5	0	1.3	2	5.5	8
2024/6/26	26.9	31.4	24.6	0	2.4	2.6	6.5	10.1
2024/6/27	25.4	29.8	23	0	5.1	3.2	6.8	10.4
2024/6/28	22	23.8	20	82.5	0	1.9	6	10.2
2024/6/29	23.7	29	20.7	0	3.8	2	3.9	6.2
2024/6/30	25.9	29	22.8	1.5	0.4	3.8	7.6	15.4
2024/7/1	26.3	29.4	24.6	12.5	0.1	4.8	8.9	19.3
2024/7/2	27.3	31.4	24.1	0	2.2	2.3	4.9	8.8
2024/7/3	27.7	33.3	23.6	0	7.2	2.6	5.3	8.5
2024/7/4	29.3	35	25	0	9.1	2.7	6.6	10.4
2024/7/5	30.2	35.5	26.2	0	13.2	2.7	6.2	8.5
2024/7/6	28.1	34.2	23.9	36	7.5	2.1	6.1	10.3
2024/7/7	28.9	34.4	24.2	0	9.9	2.1	4.2	6.2
2024/7/8	30.9	36	26.1	0	11.3	2.3	5.2	7.1
2024/7/9	30.1	34.5	26.2	0	6.4	2.8	7.8	12.7
2024/7/10	29.5	33.7	26.6	0	4.3	3.7	8.8	14.7
2024/7/11	27.8	29.6	26.1	0.5	0	4	8.6	16
2024/7/12	24.4	26.9	22.4	13.5	0	1.8	4.9	8.4
2024/7/13	26.2	31.3	22.5	0	7	2.7	5.9	9.3
2024/7/14	25.4	28.8	23.7	12.5	0.4	1.8	4.1	6.3
2024/7/15	24.6	27.7	23.2	0.5	0.4	2.4	4.6	7.2
2024/7/16	23.9	27.3	22.2	11.5	0.1	1.8	3.3	6
2024/7/17	25.8	31.3	22.1	1	2.9	1.7	4.1	8.1
2024/7/18	28.4	33.4	24.4	0	7.4	2.3	5.1	8.2
2024/7/19	30	34.5	26	0	5.2	3	5.4	8.8
2024/7/20	30.7	35.8	25	45	10.2	2.6	5.5	8.5
2024/7/21	29.1	34.6	24.6	20	11	2.7	5.8	8.5
2024/7/22	30.5	36.6	24.8	9.5	10.4	2.6	6.8	12.8
2024/7/23	29.5	34.5	24.2	0	13	2.9	6.4	9.1
2024/7/24	30.1	36	24.9	0	8.5	2.2	10.7	21.1
2024/7/25	30.2	34.8	27	0.5	7.1	2.4	5.6	7.9
2024/7/26	30.1	35.6	26.1	0	6.9	2.4	5.3	8.5
2024/7/27	30.3	35.6	26.7	0.5	7.1	1.9	4.1	6.6
2024/7/28	31.6	36.8	26.5	0	10.5	2.1	5.3	8.7
2024/7/29	32.3	37.3	29.3	0	10.7	3.1	7.7	13.1
2024/7/30	30.8	36.1	27.8	0.5	4	2.3	5.1	8.6
2024/7/31	29.4	35.6	24.6	42.5	5.6	2.7	8.2	12.8
2024/8/1	28.5	33.5	24.5	0	9.3	2.4	4.6	9.5
2024/8/2	28.7	33.9	25.4	0	6	2.6	5.5	8.9
2024/8/3	29.4	34.6	26	0	8.9	2.6	4.7	7.1
2024/8/4	30	35.3	25.4	0	10	2.5	6.3	9.3
2024/8/5	30	35	26.1	0	7.8	2.6	5.9	9.4
2024/8/6	29.9	33.5	26.6	0	1.8	2.3	3.9	7.2
2024/8/7	28.9	34.6	23.9	76.5	4.6	2.6	6.6	10.1
2024/8/8	28.1	33.9	24.4	0	4	2.2	5.3	8.2
2024/8/9	30	35.3	26.6	0	8.6	2.7	5.6	9.4
2024/8/10	30	34.9	26.8	0	8.6	2.7	5.3	11
2024/8/11	31.5	35.9	27.4	0	10.7	2.8	6.3	9.6
2024/8/12	31.2	35.5	28.3	0	11.6	3.9	7.2	13.1
2024/8/13	30.8	34.9	27.7	0	10.4	3.6	6	10.3
2024/8/14	30.4	34.7	27.4	0	4.9	2.7	6.7	10.1
2024/8/15	30.3	35.7	26.8	0	6.7	2.7	6.3	10.3
2024/8/16	26.7	29.1	25.2	90	0	4.2	7.3	16.3
2024/8/17	30.4	35.9	25.4	0	8.5	2.7	5.4	10.8
2024/8/18	29.7	34	26.9	0	4.9	2.5	5	8
2024/8/19	29.2	34.5	23.3	22	7	2.4	9.5	18.8
2024/8/20	28.3	34.7	23.5	0.5	8.2	2.4	6.1	9.6
2024/8/21	28.3	33.6	24.6	21	5.2	2.8	7	11.5
2024/8/22	27.5	30.5	25.1	16	2.1	3.1	6.2	9.9
2024/8/23	28.9	32.3	27	0	5.2	4	6.5	11.1
2024/8/24	29.4	34.4	25.4	1	7.9	3.2	6.4	11
2024/8/25	28.6	33.5	25.3	1.5	7.4	3.5	7.8	12
2024/8/26	29.2	33.6	25.9	0	10	4.4	7.7	12.4
2024/8/27	27.7	31.5	24.5	30	4	4.7	8.1	13.5
2024/8/28	28	31.4	26.2	0	2.4	3.5	6.1	10
2024/8/29	27.1	31.4	25.4	23	1.5	2.7	5.4	11.7
2024/8/30	26	27.6	25	84	0	3.2	7.5	13
2024/8/31	27.1	31.1	24.7	15.5	1.6	3.6	7.4	11.8
2024/9/1	26.2	30.5	23.7	35.5	0.8	2.6	6.4	11.7
2024/9/2	29.3	34.1	25.4	0	11.1	4.9	9	13.8
2024/9/3	24.9	27.4	23.3	9.5	0.1	2.8	5.9	10.8
2024/9/4	25.4	30	22.8	0	6.8	2.9	5.1	9.6
2024/9/5	26.7	31.8	22.4	0	9.2	2.5	4.8	7.4
2024/9/6	28.3	33.5	24.6	0	9.5	2.2	4.6	7.5
2024/9/7	28.7	33.8	25.8	0	8.1	2.5	6	9.7
2024/9/8	28.9	33.6	25.5	0	8.6	2.5	4.9	8.6
2024/9/9	28.3	33.7	25.2	2.5	5.4	2.6	7.2	11.8
2024/9/10	28.6	33.7	24.5	0	10	2.8	5.8	8.9
2024/9/11	29.6	34.2	26.3	0	10.5	3	6.7	10.1
2024/9/12	29.6	34.5	26.8	0	6.9	3.1	6.2	10.1
2024/9/13	29.6	33.9	26.5	0	9.2	3.8	6.2	10.6
2024/9/14	29.5	34.5	26.3	0	10.6	4.4	7.8	13.7
2024/9/15	29.9	34.4	25.8	34	10.2	4.9	8.1	14.2
2024/9/16	25.7	28.3	23.9	2	0.1	2.6	4.7	8.3
2024/9/17	27.7	33.4	23.3	0	8.7	2.5	5.9	8.7
2024/9/18	28.8	35.1	24.8	2.5	7.1	2.2	4.6	8.5
2024/9/19	27.7	33.6	24.7	0	3.5	1.7	4	6.7
2024/9/20	29.4	33.9	25.5	0	7.2	2.2	4.8	8.6
2024/9/21	28.5	32.6	24	0	2.1	3.3	5.9	11.6
2024/9/22	24.6	28.9	22.5	2.5	0.3	2.5	8	14.7
2024/9/23	22.6	27.7	19.7	8	4	3.5	6.1	14.5
2024/9/24	20.9	25.3	17.7	0	4.4	3.1	5.3	10.7
2024/9/25	20.4	23.7	17.9	4.5	0	2.9	4.9	11.1
2024/9/26	24.1	29.1	19.4	0.5	4.9	2.5	5.5	8.4
2024/9/27	23.3	24.8	22.4	8	0	2.1	4.7	7.6
2024/9/28	24	27.4	21.8	0	1.1	2.1	3.9	7.7
2024/9/29	22.6	25	21.3	2	0.2	2.8	4.7	9
2024/9/30	22.7	25.3	20.5	0	0.2	2.1	3.8	6.6
2024/10/1	23.3	26.6	20.1	0.5	2.7	2.6	6.2	10.5
2024/10/2	26.5	31.9	22	0	10.2	2.9	7	12.5
2024/10/3	23.1	25.4	21.6	11	0.2	2.7	5.9	9.7
2024/10/4	25.9	30.4	22.3	2	3.8	3.5	7.1	16.6
2024/10/5	21.3	24.5	18.9	9.5	0	2.5	4.9	9.2
2024/10/6	21.3	22.9	19.1	0	0	1.7	3.7	5.5
2024/10/7	25	29.9	20.7	0	7.3	2.9	7.3	12.3
2024/10/8	18.8	25.3	15.1	33.5	0	3	5.4	9.6
2024/10/9	16	17.7	14.9	53.5	0	2.9	4.7	10.9
2024/10/10	17.8	22.1	15.2	0	0.9	2.6	4.1	8.8
2024/10/11	19	24.3	14.3	0	9.9	1.9	4.7	8.2
2024/10/12	20.6	25.8	16.4	0	8.8	1.9	3.9	7.8
2024/10/13	20.9	26.6	16.9	0	9.7	2.2	3.9	7.7
2024/10/14	20.8	26.4	16.8	0	8.7	2.3	4.2	8
2024/10/15	22.1	26.6	17.9	0	9.7	2.2	4.4	6.6
2024/10/16	22.6	26.4	19	0	1	1.5	2.7	4.8
2024/10/17	22.8	26	20.7	0	0.9	2.3	4.5	7.9
2024/10/18	21.6	22.9	20.5	2	0	1.8	3.1	6.1
2024/10/19	24.2	30.1	21.2	1.5	4.2	2.7	5.7	11.1
2024/10/20	17.4	22.7	13.3	0	6.5	3.6	6.2	13.7
2024/10/21	16.2	20.5	11.5	0	4.4	2.7	5.3	8.2
2024/10/22	19.7	24.4	14.5	0	4.7	1.9	4.4	7.9
2024/10/23	21.9	24.8	18.8	6.5	0.2	2.3	6.8	11.6
2024/10/24	22.6	26.3	19.8	0	4.2	2.2	4.5	7.5
2024/10/25	20.2	21.8	18.3	0.5	0	2.4	4.2	7.8
2024/10/26	19	20.7	17.2	0	0	1.7	3	5.3
2024/10/27	19.7	23.8	16.6	4	2.8	1.5	4.3	5.9
2024/10/28	18.8	20.7	17.2	8	0	1.9	3.4	6.5
2024/10/29	15.4	18.8	12.4	24.5	0	2.9	5.8	9.7
2024/10/30	16.8	22.4	12.6	17.5	3.9	3.2	7	15.4
2024/10/31	16.2	20.2	12.9	0	7	2	3.8	7.1
2024/11/1	17	21.9	12.1	0.5	3.6	1.4	3.6	5.4
2024/11/2	16	16.9	14.9	33.5	0	1.9	4.2	8.4
2024/11/3	17.5	22.6	14.2	0	9.6	2.2	4.4	9.3
2024/11/4	17.2	22.9	11.4	0	7.8	2.4	5.9	10.5
2024/11/5	16.6	19.6	13.5	0	2.5	2.3	5.3	9.3
2024/11/6	14.4	16.5	12.2	0.5	0.8	2.1	4	8.3
2024/11/7	13.4	18	10.7	0	9.5	3.8	8.3	15.4
2024/11/8	11.8	15.8	8.2	0	8	2.1	4	8
2024/11/9	12.7	17.5	7.8	0	6.9	2.2	4.1	7.6
2024/11/10	13.8	16.4	11.4	1	0.6	2.1	3.5	6
2024/11/11	16.3	20.7	13.2	0.5	2.7	1.6	3.3	5
2024/11/12	16.3	21.3	11.8	0	6	1.5	4.3	8.4
2024/11/13	16.5	20.8	12.6	0	9.1	2.3	4.5	8.3
2024/11/14	15.8	18.2	11.9	0	2.1	1.8	3.2	5.7
2024/11/15	15.9	17.7	13.8	7.5	0	1.8	3.7	5.6
2024/11/16	16.7	18.9	14.3	0	1.6	2.3	4.4	7.5
2024/11/17	18.9	23.8	15.1	0	6	2	3.8	7.7
2024/11/18	13.7	18.9	10.1	0	0.2	3.3	6.7	13.5
2024/11/19	9.7	13.2	7.3	0	8.4	3.2	5.7	11.9
2024/11/20	7.6	8.8	5.5	5.5	0	2.5	5	9.1
2024/11/21	10.5	13.6	8.5	6.5	0.4	1.8	3.6	6.7
2024/11/22	11.9	18	7.1	0	9.1	1.6	4.4	8.4
2024/11/23	12	16	8.4	0	8.1	3.5	8.2	14.2
2024/11/24	10.7	14.8	7.4	0	8.4	2	4.1	7.7
2024/11/25	9.9	14.6	5.8	0	9.2	2	3.9	6.3
2024/11/26	10	14.5	5.6	8.5	5.5	2.1	4.1	6.8
2024/11/27	14.5	20.1	9.3	18	6.6	2.4	6.5	12.2
2024/11/28	13.2	18.3	9.4	0	9.1	2.9	6.2	12.1
2024/11/29	11.4	16.5	7.9	0	7.6	2.5	5.3	10.2
2024/11/30	10.4	16.7	5.7	0	8.7	2	4.8	7.7
2024/12/1	11.2	16.6	6.7	0	9	2.1	4.3	7.2
2024/12/2	11.4	16.8	7.6	0	5.3	1.9	3.3	7.5
2024/12/3	11.9	17.5	7.4	0	8.8	1.8	3.6	5.5
2024/12/4	12.7	17.8	8.4	0	8.7	2	5.2	7.8
2024/12/5	11.5	15.5	8.9	0	6	1.7	4	6.2
2024/12/6	11	16.7	5.2	0	8.8	2.4	5.4	8.8
2024/12/7	8.9	12.4	5.9	0	8.3	2.1	4	6.8
2024/12/8	7.7	14.2	4.2	0	7.3	2.5	5.7	10.7
2024/12/9	7.7	13	2.5	0	8.9	2.8	6.2	11.4
2024/12/10	8.5	13.8	4.4	0	8.9	1.9	3.8	6.9
2024/12/11	8.7	13.5	5.4	0	7.6	2.5	6.3	11.4
2024/12/12	7.1	10.8	4.3	0	7.5	3	5.7	11.8
2024/12/13	5.3	8.4	1.2	0	0.1	1.7	3.7	6.1
2024/12/14	7.2	12.3	3.5	0	8.4	3.5	8.1	15.8
2024/12/15	6.6	12.2	0.8	0	8.9	1.9	4.7	8.3
2024/12/16	7.7	12.7	3.3	0	8.9	1.6	3.5	5.6
2024/12/17	8	13.8	2.7	0	8.9	1.9	3.9	6
2024/12/18	7.6	13.2	2.8	0	8.6	2.4	5.2	9.5
2024/12/19	5.2	8.3	2.5	0.5	5	2.8	5.1	10.5
2024/12/20	6.5	11.6	1.1	0	6.2	1.7	3.7	5.9
2024/12/21	9.4	16.5	2.8	0	8.4	3.4	8.2	16.1
2024/12/22	6.9	11.6	2.6	0	9	3.7	7.2	14.2
2024/12/23	6.1	11.1	2.4	0	9	2.9	5.7	10.9
2024/12/24	6.7	12.2	1.8	0	8.9	2.8	7	12.8
2024/12/25	7.7	11.3	4.5	0	5.5	2.5	6	10.7
2024/12/26	8.9	14.7	3.4	0	7.8	1.7	4.2	8.2
2024/12/27	7.4	12.7	3.8	0	6.1	2.2	4.6	9.2
2024/12/28	5.4	11.5	1.4	0	7.5	1.7	4	9.4
2024/12/29	6	12.3	0.5	0	8.9	1.9	5.2	9.5
2024/12/30	6.2	10.3	3.5	0	5	2.1	4.7	9.7
2024/12/31	8	14.6	2.8	0	7.6	2.2	5.8	12.3
